title,author,rating,url
The Catcher in the Rye,J.D. Salinger," 3.80 avg rating — 3,388,816 ratings",https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye
Fahrenheit 451,Ray Bradbury," 3.97 avg rating — 2,288,143 ratings",https://www.goodreads.com/book/show/13079982-fahrenheit-451
Brave New World,Aldous Huxley," 3.99 avg rating — 1,783,597 ratings",https://www.goodreads.com/book/show/5129.Brave_New_World
One Hundred Years of Solitude,Gabriel García Márquez," 4.11 avg rating — 935,390 ratings",https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude
The Time Traveler's Wife,Audrey Niffenegger," 3.99 avg rating — 1,753,469 ratings",https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife
A Thousand Splendid Suns,Khaled Hosseini," 4.42 avg rating — 1,467,995 ratings",https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns
The Princess Bride,William Goldman," 4.26 avg rating — 882,093 ratings",https://www.goodreads.com/book/show/21787.The_Princess_Bride
The Secret Garden,Frances Hodgson Burnett," 4.15 avg rating — 1,123,048 ratings",https://www.goodreads.com/book/show/2998.The_Secret_Garden
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,531,857 ratings",https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin," 4.44 avg rating — 2,403,083 ratings",https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Outsiders,S.E. Hinton," 4.12 avg rating — 1,262,409 ratings",https://www.goodreads.com/book/show/231804.The_Outsiders
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle," 3.98 avg rating — 1,171,681 ratings",https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time
Little Women,Louisa May Alcott," 4.14 avg rating — 2,135,760 ratings",https://www.goodreads.com/book/show/1934.Little_Women
1984,George Orwell," 4.19 avg rating — 4,342,387 ratings",https://www.goodreads.com/book/show/40961427-1984
The Odyssey,Homer," 3.80 avg rating — 1,037,977 ratings",https://www.goodreads.com/book/show/1381.The_Odyssey
The Kite Runner,Khaled Hosseini," 4.34 avg rating — 3,023,179 ratings",https://www.goodreads.com/book/show/77203.The_Kite_Runner
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley," 3.86 avg rating — 1,514,616 ratings",https://www.goodreads.com/book/show/35031085-frankenstein
The Lovely Bones,Alice Sebold," 3.85 avg rating — 2,296,910 ratings",https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Adventures of Huckleberry Finn,Mark Twain," 3.83 avg rating — 1,248,047 ratings",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn
Where the Wild Things Are,Maurice Sendak," 4.24 avg rating — 978,724 ratings",https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling," 4.62 avg rating — 3,553,220 ratings",https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
Green Eggs and Ham,Dr. Seuss," 4.31 avg rating — 746,957 ratings",https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham
"The Giver (The Giver, #1)",Lois Lowry," 4.12 avg rating — 2,349,427 ratings",https://www.goodreads.com/book/show/3636.The_Giver
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood," 4.13 avg rating — 1,947,357 ratings",https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
Life of Pi,Yann Martel," 3.93 avg rating — 1,577,593 ratings",https://www.goodreads.com/book/show/4214.Life_of_Pi
A Tale of Two Cities,Charles Dickens," 3.87 avg rating — 924,288 ratings",https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities
Lolita,Vladimir Nabokov," 3.88 avg rating — 816,861 ratings",https://www.goodreads.com/book/show/7604.Lolita
"Dune (Dune, #1)",Frank Herbert," 4.26 avg rating — 1,257,185 ratings",https://www.goodreads.com/book/show/44767458-dune
Slaughterhouse-Five,Kurt Vonnegut Jr.," 4.09 avg rating — 1,328,868 ratings",https://www.goodreads.com/book/show/4981.Slaughterhouse_Five
Water for Elephants,Sara Gruen," 4.10 avg rating — 1,577,097 ratings",https://www.goodreads.com/book/show/43641.Water_for_Elephants
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling," 4.58 avg rating — 3,937,122 ratings",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban
The Bell Jar,Sylvia Plath," 4.05 avg rating — 878,239 ratings",https://www.goodreads.com/book/show/6514.The_Bell_Jar
The Stand,Stephen King," 4.35 avg rating — 736,390 ratings",https://www.goodreads.com/book/show/149267.The_Stand
Matilda,Roald Dahl," 4.33 avg rating — 895,624 ratings",https://www.goodreads.com/book/show/39988.Matilda
Catch-22,Joseph Heller," 3.99 avg rating — 815,426 ratings",https://www.goodreads.com/book/show/168668.Catch_22
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett," 4.33 avg rating — 743,120 ratings",https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle," 4.30 avg rating — 291,172 ratings",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"Watership Down (Watership Down, #1)",Richard  Adams," 4.08 avg rating — 472,332 ratings",https://www.goodreads.com/book/show/76620.Watership_Down
Great Expectations,Charles Dickens," 3.79 avg rating — 777,259 ratings",https://www.goodreads.com/book/show/2623.Great_Expectations
Rebecca,Daphne du Maurier," 4.24 avg rating — 600,159 ratings",https://www.goodreads.com/book/show/17899948-rebecca
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,531,857 ratings",https://www.goodreads.com/book/show/72193.Harry_Potter_and_the_Philosopher_s_Stone
"Outlander (Outlander, #1)",Diana Gabaldon," 4.26 avg rating — 1,012,367 ratings",https://www.goodreads.com/book/show/10964.Outlander
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson," 4.16 avg rating — 3,083,015 ratings",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
The Color Purple,Alice Walker," 4.26 avg rating — 651,997 ratings",https://www.goodreads.com/book/show/52892857-the-color-purple
One Flew Over the Cuckoo's Nest,Ken Kesey," 4.20 avg rating — 716,135 ratings",https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien," 4.39 avg rating — 2,732,090 ratings",https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring
My Sister's Keeper,Jodi Picoult," 4.10 avg rating — 1,192,101 ratings",https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper
Anna Karenina,Leo Tolstoy," 4.08 avg rating — 818,025 ratings",https://www.goodreads.com/book/show/15823480-anna-karenina
The Brothers Karamazov,Fyodor Dostoevsky," 4.36 avg rating — 315,580 ratings",https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov
A Tree Grows in Brooklyn,Betty  Smith," 4.29 avg rating — 451,953 ratings",https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn
A Clockwork Orange,Anthony Burgess," 4.00 avg rating — 693,729 ratings",https://www.goodreads.com/book/show/41817486-a-clockwork-orange
The Road,Cormac McCarthy," 3.98 avg rating — 866,665 ratings",https://www.goodreads.com/book/show/6288.The_Road
And Then There Were None,Agatha Christie," 4.28 avg rating — 1,268,851 ratings",https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt," 4.14 avg rating — 616,150 ratings",https://www.goodreads.com/book/show/252577.Angela_s_Ashes
"The Golden Compass (His Dark Materials, #1)",Philip Pullman," 4.02 avg rating — 1,486,254 ratings",https://www.goodreads.com/book/show/119322.The_Golden_Compass
"Vampire Academy (Vampire Academy, #1)",Richelle Mead," 4.11 avg rating — 633,407 ratings",https://www.goodreads.com/book/show/345627.Vampire_Academy
Siddhartha,Hermann Hesse," 4.06 avg rating — 740,121 ratings",https://www.goodreads.com/book/show/52036.Siddhartha
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,832,598 ratings",https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird
It,Stephen King," 4.25 avg rating — 1,054,654 ratings",https://www.goodreads.com/book/show/830502.It
"The Shining (The Shining, #1)",Stephen King," 4.26 avg rating — 1,422,025 ratings",https://www.goodreads.com/book/show/11588.The_Shining
The Complete Stories and Poems,Edgar Allan Poe," 4.38 avg rating — 244,867 ratings",https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice," 4.02 avg rating — 568,631 ratings",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Don Quixote,Miguel de Cervantes Saavedra," 3.89 avg rating — 260,625 ratings",https://www.goodreads.com/book/show/3836.Don_Quixote
The Poisonwood Bible,Barbara Kingsolver," 4.09 avg rating — 727,315 ratings",https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible
