title,author,rating
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett," 4.33 avg rating — 742,870 ratings"
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle," 4.30 avg rating — 291,037 ratings"
"Watership Down (Watership Down, #1)",Richard  Adams," 4.08 avg rating — 472,244 ratings"
Great Expectations,Charles Dickens," 3.79 avg rating — 777,029 ratings"
Rebecca,Daphne du Maurier," 4.24 avg rating — 599,805 ratings"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)",J.K. Rowling," 4.47 avg rating — 9,527,483 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon," 4.26 avg rating — 1,011,968 ratings"
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson," 4.16 avg rating — 3,082,087 ratings"
One Flew Over the Cuckoo's Nest,Ken Kesey," 4.20 avg rating — 715,932 ratings"
The Color Purple,Alice Walker," 4.26 avg rating — 651,697 ratings"
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien," 4.39 avg rating — 2,731,285 ratings"
My Sister's Keeper,Jodi Picoult," 4.10 avg rating — 1,191,835 ratings"
Anna Karenina,Leo Tolstoy," 4.08 avg rating — 817,685 ratings"
The Brothers Karamazov,Fyodor Dostoevsky," 4.36 avg rating — 315,387 ratings"
A Tree Grows in Brooklyn,Betty  Smith," 4.29 avg rating — 451,791 ratings"
A Clockwork Orange,Anthony Burgess," 4.00 avg rating — 693,500 ratings"
The Road,Cormac McCarthy," 3.98 avg rating — 866,232 ratings"
And Then There Were None,Agatha Christie," 4.28 avg rating — 1,267,819 ratings"
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt," 4.14 avg rating — 616,027 ratings"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman," 4.02 avg rating — 1,485,895 ratings"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead," 4.11 avg rating — 633,293 ratings"
Siddhartha,Hermann Hesse," 4.06 avg rating — 739,765 ratings"
To Kill a Mockingbird,Harper Lee," 4.26 avg rating — 5,830,400 ratings"
It,Stephen King," 4.25 avg rating — 1,054,142 ratings"
"The Shining (The Shining, #1)",Stephen King," 4.26 avg rating — 1,421,387 ratings"
The Complete Stories and Poems,Edgar Allan Poe," 4.38 avg rating — 244,817 ratings"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice," 4.02 avg rating — 568,391 ratings"
Don Quixote,Miguel de Cervantes Saavedra," 3.89 avg rating — 260,496 ratings"
The Poisonwood Bible,Barbara Kingsolver," 4.09 avg rating — 727,119 ratings"
